freetype2 2.14.1-1
fribidi 1.0.16-2
fuse-common 3.17.4-1
fuse3 3.17.4-1
fzf 0.67.0-1
gawk 5.3.2-1
gc 8.2.10-2
gcc 15.2.1+r301+gf24307422d1d-1
gcc-libs 15.2.1+r301+gf24307422d1d-1
gdbm 1.26-1
gdk-pixbuf2 2.44.4-1
gettext 0.26-1
ghc-libs 9.6.6-1
giflib 5.2.2-2
git 2.52.0-2
glib-networking 1:2.80.1-1
glib2 2.86.2-1
glibc 2.42+r33+gde1fe81f4714-1
glibmm 2.66.8-1
glslang 1:1.4.328.1-1
glycin 2.0.7-1
gmp 6.3.0-2
gnulib-l10n 20241231-1
gnupg 2.4.8-3
gnutls 3.8.11-2
go 2:1.25.5-1
gobject-introspection-runtime 1.86.0-1
gperftools 2.17.2-1
gpgme 2.0.1-1
gpm 1.20.7.r38.ge82d1a6-6
gpsd 3.27-1
granite7 7.6.0-1
graphene 1.10.8-2
graphite 1:1.3.14-5
grep 3.12-2
groff 1.23.0-7
gsettings-desktop-schemas 49.1-1
gsettings-system-schemas 49.1-1
gsm 1.0.23-1
gssdp 1.6.4-1
gst-plugin-pipewire 1:1.4.9-2
gst-plugins-bad-libs 1.26.9-1
gst-plugins-base-libs 1.26.9-1
gstreamer 1.26.9-1
gtest 1.17.0-1
gtk-layer-shell 0.10.0-1
gtk-update-icon-cache 1:4.20.3-1
gtk3 1:3.24.51-1
gtk4 1:4.20.3-1
gtk4-layer-shell 1.3.0-1
gtkmm3 3.24.10-1
guile 3.0.10-1
gupnp 1:1.6.9-1
gupnp-igd 1.6.0-2
gzip 1.14-2
harfbuzz 12.2.0-2
haskell-adjunctions 4.4.3-97
haskell-ansi-terminal 1.0.2-156
haskell-ansi-terminal-types 0.11.5-196
haskell-assoc 1.1.1-40
haskell-async 2.2.5-270
haskell-base-orphans 0.9.3-84
haskell-bifunctors 5.6.2-58
haskell-call-stack 0.4.0-382
haskell-case-insensitive 1.2.1.0-374
haskell-cereal 0.5.8.3-4
haskell-colour 2.3.6-406
haskell-comonad 5.0.9-121
haskell-contravariant 1.5.5-6
haskell-distributive 0.6.2.1-413
haskell-foldable1-classes-compat 0.1.2-56
haskell-free 5.2-119
haskell-hashable 1.4.7.0-19
haskell-indexed-traversable 0.1.4-176
haskell-indexed-traversable-instances 0.1.2-125
haskell-integer-logarithms 1.0.4-142
haskell-invariant 0.6.4-90
haskell-kan-extensions 5.2.7-80
haskell-lens 5.3.3-9
haskell-megaparsec 9.7.0-51
haskell-microlens 0.4.14.0-2
haskell-microlens-mtl 0.2.1.0-2
haskell-onetuple 0.4.2-182
haskell-optparse-applicative 0.18.1.0-257
haskell-os-string 2.0.8-88
haskell-parallel 3.2.2.0-20
haskell-parser-combinators 1.3.0-7
haskell-prettyprinter 1.7.1-360
haskell-prettyprinter-ansi-terminal 1.1.3-468
haskell-primitive 0.9.1.0-112
haskell-profunctors 5.6.3-78
haskell-random 1.2.1.3-178
haskell-reflection 2.1.9-76
haskell-resourcet 1.2.6-242
haskell-rio 0.1.22.0-230
haskell-safe-exceptions 0.1.7.4-188
haskell-scientific 0.3.8.0-150
haskell-semigroupoids 6.0.1-97
haskell-splitmix 0.1.3-6
